type of house,location,price,bedrooms,bathrooms,toilets,parking_space
4 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos","₦200,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Ikate, Lekki, Lagos","₦750,000,000",5.0,5.0,6.0,
4 bedroom detached duplex for sale,"Oral Estate, Ikota, Lekki, Lagos","₦180,000,000",4.0,5.0,5.0,
5 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos","₦230,000,000",5.0,5.0,6.0,9.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦180,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Ikate Elegushi, Lekki, Lagos","₦750,000,000",5.0,5.0,7.0,
5 bedroom detached duplex for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos","₦800,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos","₦1,700,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos","₦500,000,000",5.0,5.0,6.0,4.0
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦650,000,000",5.0,5.0,6.0,
6 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦1,500,000,000",6.0,6.0,7.0,8.0
4 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","₦3,500,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦650,000,000",5.0,5.0,6.0,
3 bedroom detached bungalow for sale,"Eleko, Ibeju Lekki, Lagos","₦65,000,000",3.0,3.0,4.0,
3 bedroom detached bungalow for sale,"Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,
3 bedroom house for sale,"By Idera Scheme & Adjacent New Lekki International Airport, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,3.0
3 bedroom detached bungalow for sale,"By Idera Scheme & 5 Minutes The New Lekki International Airport, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,
3 bedroom detached bungalow for sale,"Idera Scheme, Eleko, Ibeju Lekki, Lagos","₦65,000,000",3.0,3.0,4.0,
3 bedroom detached bungalow for sale,"Adjacent New Lekki International Airport By Idera Scheme, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,4.0
Land for sale,"Agunecheibe Luxury Homes Phase 2, Asaba, Delta","₦2,500,000",,,,
5 bedroom detached duplex for sale,"Chevron Drive, Lekki, Lagos","₦850,000,000",5.0,5.0,6.0,4.0
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦150,000,000",2.0,2.0,3.0,
